"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
5,10,"Purchase Experience & Satisfaction",0.708333333333333,"oily",24,FALSE
5,65,"Problematic Skin (Acne/Sensitivity)",0.451612903225806,"combination",31,FALSE
5,38.5,"Moisterization",0.888888888888889,"combination",9,TRUE
5,21,"Purchase Experience & Satisfaction",0.0701754385964912,"combination",57,FALSE
5,66,"Moisterization",0.6,"dry",25,FALSE
5,45,"Texture, Fragrance & Makeup",0.0612244897959184,"combination",49,FALSE
3,54,"Purchase Experience & Satisfaction",0.0357142857142857,"oily",28,FALSE
5,30,"Moisterization",0.392857142857143,"combination",28,FALSE
5,28,"Purchase Experience & Satisfaction",0.218181818181818,"combination",55,FALSE
5,65,"Moisterization",0.192307692307692,"combination",26,FALSE
1,32,"Purchase Experience & Satisfaction",0.0769230769230769,"dry",26,FALSE
5,8,"Problematic Skin (Acne/Sensitivity)",0.0227272727272727,"dry",44,FALSE
5,48,"Purchase Experience & Satisfaction",0.0714285714285714,"normal",42,FALSE
4,65,"Texture, Fragrance & Makeup",0.120689655172414,"dry",58,FALSE
2,62,"Problematic Skin (Acne/Sensitivity)",0.3,"dry",20,FALSE
5,42,"Texture, Fragrance & Makeup",0.565217391304348,"combination",23,FALSE
2,6,"Texture, Fragrance & Makeup",-0.0714285714285714,"combination",14,FALSE
5,50,"Purchase Experience & Satisfaction",0.625,"combination",24,FALSE
5,19,"Moisterization",0.116279069767442,"combination",43,FALSE
5,18,"Purchase Experience & Satisfaction",0.2,"dry",15,FALSE
5,20,"Texture, Fragrance & Makeup",0.285714285714286,"combination",21,FALSE
5,92,"Problematic Skin (Acne/Sensitivity)",0.0894308943089431,"combination",123,FALSE
4,34,"Problematic Skin (Acne/Sensitivity)",0.1875,"combination",16,FALSE
4,50,"Problematic Skin (Acne/Sensitivity)",0.157894736842105,"combination",19,FALSE
1,46,"Purchase Experience & Satisfaction",-0.133333333333333,"combination",15,FALSE
4,38,"Texture, Fragrance & Makeup",0.545454545454545,"oily",33,FALSE
4,40,"Texture, Fragrance & Makeup",0.0555555555555556,"normal",18,FALSE
5,49,"Problematic Skin (Acne/Sensitivity)",0,"dry",14,FALSE
5,95,"Texture, Fragrance & Makeup",0.409090909090909,"combination",22,FALSE
5,28,"Texture, Fragrance & Makeup",0.5,"normal",34,FALSE
5,22,"Problematic Skin (Acne/Sensitivity)",0.08,"combination",25,FALSE
3,28,"Moisterization",0.368421052631579,"normal",19,FALSE
4,24,"Texture, Fragrance & Makeup",0.523809523809524,"dry",21,FALSE
3,39,"Purchase Experience & Satisfaction",0.166666666666667,"normal",18,FALSE
3,18,"Texture, Fragrance & Makeup",0.375,"combination",8,FALSE
5,18,"Purchase Experience & Satisfaction",0.177777777777778,"combination",45,FALSE
4,8,"Moisterization",0.428571428571429,"normal",7,FALSE
5,68,"Purchase Experience & Satisfaction",0,"dry",10,FALSE
5,70,"Problematic Skin (Acne/Sensitivity)",0.164179104477612,"oily",67,FALSE
2,49,"Moisterization",0.0344827586206897,"combination",29,FALSE
3,45,"Texture, Fragrance & Makeup",0.434782608695652,"oily",46,FALSE
3,18,"Moisterization",0.230769230769231,"dry",13,FALSE
5,22,"Purchase Experience & Satisfaction",0.178571428571429,"oily",28,FALSE
4,115,"Purchase Experience & Satisfaction",0.244897959183673,"oily",49,FALSE
5,68,"Purchase Experience & Satisfaction",0.222222222222222,"oily",18,FALSE
4,80,"Purchase Experience & Satisfaction",0.0540540540540541,"normal",37,FALSE
5,38,"Moisterization",0.21875,"combination",32,FALSE
5,80,"Texture, Fragrance & Makeup",0.214285714285714,"normal",28,FALSE
4,56,"Moisterization",0.266666666666667,"combination",30,FALSE
5,32.5,"Moisterization",0.166666666666667,"oily",18,FALSE
5,38.5,"Texture, Fragrance & Makeup",0.269230769230769,"normal",26,FALSE
4,72,"Purchase Experience & Satisfaction",0.243243243243243,"combination",37,FALSE
5,7,"Moisterization",0.148148148148148,"combination",81,FALSE
5,10.9,"Purchase Experience & Satisfaction",0.210526315789474,"dry",19,FALSE
5,52,"Problematic Skin (Acne/Sensitivity)",0.132352941176471,"normal",68,FALSE
3,35,"Problematic Skin (Acne/Sensitivity)",0,"oily",28,FALSE
4,45,"Problematic Skin (Acne/Sensitivity)",0.0714285714285714,"dry",28,FALSE
5,49,"Moisterization",0.6,"dry",10,FALSE
4,65,"Purchase Experience & Satisfaction",0.19047619047619,"normal",21,FALSE
5,12,"Problematic Skin (Acne/Sensitivity)",0.347826086956522,"combination",23,FALSE
5,52,"Purchase Experience & Satisfaction",0.170731707317073,"combination",82,FALSE
1,60,"Moisterization",-0.15,"oily",20,FALSE
4,72,"Texture, Fragrance & Makeup",0.225,"combination",40,FALSE
5,20,"Texture, Fragrance & Makeup",0.375,"combination",24,FALSE
5,14,"Problematic Skin (Acne/Sensitivity)",0.285714285714286,"combination",21,FALSE
5,68,"Moisterization",0.104166666666667,"combination",48,FALSE
5,33,"Problematic Skin (Acne/Sensitivity)",0.391304347826087,"oily",23,FALSE
4,21,"Problematic Skin (Acne/Sensitivity)",0.0869565217391304,"normal",46,FALSE
4,38,"Problematic Skin (Acne/Sensitivity)",0.0444444444444444,"oily",45,FALSE
5,49,"Problematic Skin (Acne/Sensitivity)",0.21875,"combination",32,FALSE
4,20,"Texture, Fragrance & Makeup",0.101796407185629,"dry",167,FALSE
3,38,"Moisterization",0,"dry",5,FALSE
5,45,"Moisterization",0.34375,"combination",32,FALSE
4,55,"Moisterization",0.208333333333333,"combination",24,FALSE
1,68,"Texture, Fragrance & Makeup",0,"oily",5,FALSE
5,34,"Problematic Skin (Acne/Sensitivity)",0.235294117647059,"combination",17,FALSE
5,38,"Texture, Fragrance & Makeup",0.285714285714286,"combination",21,FALSE
5,54,"Purchase Experience & Satisfaction",0.204545454545455,"dry",44,FALSE
5,36,"Problematic Skin (Acne/Sensitivity)",0.277777777777778,"combination",18,FALSE
5,56,"Texture, Fragrance & Makeup",0.375,"dry",8,FALSE
5,5.99,"Problematic Skin (Acne/Sensitivity)",0.5,"combination",6,FALSE
5,14,"Problematic Skin (Acne/Sensitivity)",0.178571428571429,"oily",28,FALSE
